Id,Date,Open,High,Low,Close,Shares Traded,Turnover
71,04-Jul-23,19406.6,19434.15,19300.0,19389.0,226916635.0,26634.06
72,05-Jul-23,19405.95,19421.6,19339.6,19398.5,247588960.0,27587.120000000003
73,06-Jul-23,19385.7,19512.2,19373.0,19497.3,268261285.0,28540.18
74,07-Jul-23,19422.8,19523.6,19303.6,19331.8,237102566.0,23089.25
75,10-Jul-23,19400.35,19435.85,19327.1,19355.9,268246132.0,25991.55
76,11-Jul-23,19427.1,19515.1,19406.45,19439.4,251263638.0,26883.78
77,12-Jul-23,19497.45,19507.7,19361.75,19384.3,327941559.0,40163.14
78,13-Jul-23,19495.2,19567.0,19385.8,19413.75,310442517.0,27244.56
79,14-Jul-23,19493.45,19595.35,19433.5,19564.5,291165841.0,25484.44
80,17-Jul-23,19612.15,19731.85,19562.95,19711.45,268707894.0,25975.57
81,18-Jul-23,19787.5,19819.45,19690.2,19749.25,286353897.0,33269.08
82,19-Jul-23,19802.95,19851.7,19727.45,19833.15,259660464.0,26447.9
83,20-Jul-23,19831.7,19991.85,19758.4,19979.15,274698867.0,30622.66
84,21-Jul-23,19800.45,19887.4,19700.0,19745.0,312461795.0,33802.14
85,24-Jul-23,19748.45,19782.75,19658.3,19672.35,265562151.0,24522.29
86,25-Jul-23,19729.35,19729.35,19615.95,19680.6,369653496.0,29665.67
87,26-Jul-23,19733.35,19825.6,19716.7,19778.3,244747425.0,23023.86
88,27-Jul-23,19850.9,19867.55,19603.55,19659.9,334891351.0,35019.13
89,28-Jul-23,19659.75,19695.9,19563.1,19646.05,258671382.0,22995.98
90,31-Jul-23,19666.35,19772.75,19597.6,19753.8,295053318.0,23075.38
91,01-Aug-23,19784.0,19795.6,19704.6,19733.55,298048161.0,24554.71
92,02-Aug-23,19655.4,19678.25,19423.55,19526.55,290666798.0,23997.47
93,03-Aug-23,19463.75,19537.65,19296.45,19381.65,315688612.0,29899.38
94,04-Aug-23,19462.8,19538.85,19436.45,19517.0,280799561.0,28086.15
95,07-Aug-23,19576.85,19620.45,19524.8,19597.3,216586074.0,21655.87
96,08-Aug-23,19627.2,19634.4,19533.1,19570.85,260294052.0,25437.47
97,09-Aug-23,19578.8,19645.5,19467.5,19632.55,266495074.0,23201.75
98,10-Aug-23,19605.55,19623.6,19495.4,19543.1,312193785.0,29430.34
99,11-Aug-23,19554.25,19557.75,19412.75,19428.3,235524048.0,24521.24
100,14-Aug-23,19383.95,19465.85,19257.9,19434.55,243850815.0,22767.43
101,16-Aug-23,19369.0,19482.75,19317.2,19465.0,226627230.0,21484.66
102,17-Aug-23,19450.55,19461.55,19326.25,19365.25,268663456.0,26505.65
103,18-Aug-23,19301.75,19373.8,19253.6,19310.15,256142364.0,25641.41
104,21-Aug-23,19320.65,19425.95,19296.3,19393.6,262589133.0,20738.75
105,22-Aug-23,19417.1,19443.5,19381.3,19396.45,208704354.0,20226.48
106,23-Aug-23,19439.2,19472.05,19366.6,19444.0,225214991.0,20167.16
107,24-Aug-23,19535.15,19584.45,19369.0,19386.7,268256859.0,24338.24
108,25-Aug-23,19297.4,19339.55,19229.7,19265.8,466518217.0,24998.12
109,28-Aug-23,19298.35,19366.85,19249.7,19306.05,248178769.0,18237.22
110,29-Aug-23,19374.85,19377.9,19309.1,19342.65,307388116.0,22501.12
111,30-Aug-23,19433.45,19452.8,19334.75,19347.45,233004568.0,19877.49
112,31-Aug-23,19375.55,19388.2,19223.65,19253.8,562557215.0,45699.54
113,01-Sep-23,19258.15,19458.55,19255.7,19435.3,372502191.0,25962.38
114,04-Sep-23,19525.05,19545.15,19432.85,19528.8,396071122.0,24822.79
115,05-Sep-23,19564.65,19587.05,19525.75,19574.9,303958622.0,24029.89
116,06-Sep-23,19581.2,19636.45,19491.5,19611.05,512974083.0,32500.52
117,07-Sep-23,19598.65,19737.0,19550.05,19727.05,304929822.0,23591.0
118,08-Sep-23,19774.8,19867.15,19728.05,19819.95,288093693.0,23530.84
119,11-Sep-23,19890.0,20008.15,19865.35,19996.35,248763130.0,21924.34
120,12-Sep-23,20110.15,20110.35,19914.65,19993.2,328064239.0,30110.8
121,13-Sep-23,19989.5,20096.9,19944.1,20070.0,251394599.0,24332.36
122,14-Sep-23,20127.95,20167.65,20043.45,20103.1,275111881.0,21902.65
123,15-Sep-23,20156.45,20222.45,20129.7,20192.35,438185104.0,42681.35
124,18-Sep-23,20155.95,20195.35,20115.7,20133.3,264870758.0,21135.95
125,20-Sep-23,19980.75,20050.65,19878.85,19901.4,378065882.0,37351.58
126,21-Sep-23,19840.55,19848.75,19709.95,19742.35,275132260.0,26711.83
127,22-Sep-23,19744.85,19798.65,19657.5,19674.25,246410075.0,24137.57
128,25-Sep-23,19678.2,19734.15,19601.55,19674.55,188398392.0,20194.48
129,26-Sep-23,19682.8,19699.35,19637.45,19664.7,204869058.0,18118.19
130,27-Sep-23,19637.05,19730.7,19554.0,19716.45,203559874.0,19659.17
131,28-Sep-23,19761.8,19766.65,19492.1,19523.55,352810261.0,30069.78
132,29-Sep-23,19581.2,19726.25,19551.05,19638.3,243508919.0,20978.72
133,03-Oct-23,19622.4,19623.2,19479.65,19528.75,221719625.0,21459.58
134,04-Oct-23,19446.3,19457.8,19333.6,19436.1,277148310.0,26017.47
135,05-Oct-23,19521.85,19576.95,19487.3,19545.75,234865323.0,22019.04
136,06-Oct-23,19621.2,19675.75,19589.4,19653.5,159051277.0,16096.52
137,09-Oct-23,19539.45,19588.95,19480.5,19512.35,165094800.0,15499.67
138,10-Oct-23,19565.6,19717.8,19565.45,19689.85,216559447.0,18735.62
139,11-Oct-23,19767.0,19839.2,19756.95,19811.35,213729730.0,19900.99
140,12-Oct-23,19822.7,19843.3,19772.65,19794.0,217904144.0,20999.94
141,13-Oct-23,19654.55,19805.4,19635.3,19751.05,254955979.0,24363.02
142,16-Oct-23,19737.25,19781.3,19691.85,19731.75,180964341.0,14746.01
143,17-Oct-23,19843.2,19849.75,19775.65,19811.5,185846716.0,16839.87
144,18-Oct-23,19820.45,19840.95,19659.95,19671.1,198942937.0,18581.64
145,19-Oct-23,19545.2,19681.8,19512.35,19624.7,230312163.0,23582.01
146,20-Oct-23,19542.15,19593.8,19518.7,19542.65,198341255.0,17944.31
147,23-Oct-23,19521.6,19556.85,19257.85,19281.75,176044288.0,16212.9
148,25-Oct-23,19286.45,19347.3,19074.15,19122.15,225291741.0,19818.32
149,26-Oct-23,19027.25,19041.7,18837.85,18857.25,300356469.0,28939.64
150,27-Oct-23,18928.75,19076.15,18926.65,19047.25,205201044.0,19947.48
151,30-Oct-23,19053.4,19158.5,18940.0,19140.9,180132492.0,17095.73
152,31-Oct-23,19232.95,19233.7,19056.45,19079.6,206049341.0,19397.36
153,01-Nov-23,19064.05,19096.05,18973.7,18989.15,194103279.0,18452.51
154,02-Nov-23,19120.0,19175.25,19064.15,19133.25,245595109.0,19771.49
155,03-Nov-23,19241.0,19276.25,19210.9,19230.6,189516123.0,17304.87
156,06-Nov-23,19345.85,19423.0,19309.7,19411.75,180690631.0,16296.56
157,07-Nov-23,19404.05,19423.5,19329.1,19406.7,198660124.0,18288.06
158,08-Nov-23,19449.6,19464.4,19401.5,19443.5,194967997.0,17060.45
159,09-Nov-23,19457.4,19463.9,19378.35,19395.3,208418472.0,19087.29
160,10-Nov-23,19351.85,19451.3,19329.45,19425.35,152215785.0,12916.21
161,12-Nov-23,19547.25,19547.25,19510.25,19525.55,170745759.0,13221.715
162,13-Nov-23,19486.75,19494.4,19414.75,19443.55,189275733.0,13527.22
163,15-Nov-23,19651.4,19693.2,19579.65,19675.45,291464988.0,24957.24
164,16-Nov-23,19674.7,19875.25,19627.0,19765.2,282686669.0,26041.45
165,17-Nov-23,19674.75,19806.0,19667.45,19731.8,236827462.0,21681.28
166,20-Nov-23,19731.15,19756.45,19670.5,19694.0,173780543.0,16737.05
167,21-Nov-23,19770.9,19829.1,19754.05,19783.4,194969012.0,17947.2
168,22-Nov-23,19784.0,19825.55,19703.85,19811.85,184497984.0,17405.48
169,23-Nov-23,19828.45,19875.15,19786.75,19802.0,170024085.0,15906.94
170,24-Nov-23,19809.6,19832.85,19768.85,19794.7,145895044.0,14389.29
171,28-Nov-23,19844.65,19916.85,19800.0,19889.7,229595031.0,23043.25
172,29-Nov-23,19976.55,20104.65,19956.3,20096.6,236241768.0,22367.64
173,30-Nov-23,20108.5,20158.7,20015.85,20133.15,486585349.0,48877.95
174,01-Dec-23,20194.1,20291.55,20183.7,20267.9,265812566.0,22461.53
175,04-Dec-23,20601.95,20702.65,20507.75,20686.8,381107418.0,33917.52
176,05-Dec-23,20808.9,20864.05,20711.15,20855.1,421008350.0,41763.52
177,06-Dec-23,20950.75,20961.95,20852.15,20937.7,359212958.0,35654.76
178,07-Dec-23,20932.4,20941.25,20850.8,20901.15,274985308.0,24862.43
179,08-Dec-23,20934.1,21006.1,20862.7,20969.4,292440768.0,27449.96
180,11-Dec-23,20965.3,21026.1,20923.7,20997.1,212921451.0,21150.17
181,12-Dec-23,21018.55,21037.9,20867.15,20906.4,244867128.0,25404.64
182,13-Dec-23,20929.75,20950.0,20769.5,20926.35,260269318.0,25918.44
183,14-Dec-23,21110.4,21210.9,21074.45,21182.7,334410589.0,32593.42
184,15-Dec-23,21287.45,21492.3,21235.3,21456.65,508761756.0,50114.46
185,18-Dec-23,21434.8,21482.8,21365.35,21418.65,249668965.0,23615.28
186,19-Dec-23,21477.65,21505.05,21337.75,21453.1,249750062.0,23750.61
187,20-Dec-23,21543.5,21593.0,21087.35,21150.15,363886229.0,30993.12
188,21-Dec-23,21033.95,21288.35,20976.8,21255.05,277548079.0,26001.02
189,22-Dec-23,21295.85,21390.5,21232.45,21349.4,284708918.0,27709.29
190,26-Dec-23,21365.2,21477.15,21329.45,21441.35,219467748.0,20081.33
191,27-Dec-23,21497.65,21675.75,21495.8,21654.75,256542963.0,23059.25
192,28-Dec-23,21715.0,21801.45,21678.0,21778.7,263732619.5,23378.565000000002
193,29-Dec-23,21737.65,21770.3,21676.9,21731.4,270922276.0,23697.88
194,01-Jan-24,21727.75,21834.35,21680.85,21741.9,153995217.0,14184.09
195,02-Jan-24,21751.35,21755.6,21555.65,21665.8,263711568.0,25316.13
196,03-Jan-24,21661.1,21677.0,21500.35,21517.35,311933117.0,32329.23
197,04-Jan-24,21605.8,21685.65,21564.55,21658.6,339172697.0,30868.15
198,05-Jan-24,21705.75,21749.6,21629.2,21710.8,309303266.0,26554.49
199,08-Jan-24,21747.6,21763.95,21492.9,21513.0,231452935.0,21140.94
200,09-Jan-24,21653.6,21724.45,21517.85,21544.85,228568589.0,24055.74
201,10-Jan-24,21529.3,21641.85,21448.65,21618.7,216991926.0,20958.96
202,11-Jan-24,21688.0,21726.5,21593.75,21647.2,212453866.0,23492.12
203,12-Jan-24,21773.55,21928.25,21715.15,21894.55,294678459.0,30565.5
204,15-Jan-24,22053.15,22115.55,21963.55,22097.45,345543523.0,29523.15
205,16-Jan-24,22080.5,22124.15,21969.8,22032.3,292433764.0,24435.94
206,17-Jan-24,21647.25,21851.5,21550.45,21571.95,455999867.0,47533.44
207,18-Jan-24,21414.2,21539.4,21285.55,21462.25,387341268.0,39718.84
208,19-Jan-24,21615.2,21670.6,21575.0,21622.4,343055124.0,34429.24
209,20-Jan-24,21706.15,21720.3,21541.8,21571.8,162073740.0,13917.46
210,23-Jan-24,21716.7,21750.25,21192.6,21238.8,449718534.0,48813.68
211,24-Jan-24,21185.25,21482.35,21137.2,21453.95,407460664.0,41718.64
212,25-Jan-24,21454.6,21459.0,21247.05,21352.6,418143077.0,40088.5
213,29-Jan-24,21433.1,21763.25,21429.6,21737.6,376702289.0,34516.42
214,30-Jan-24,21775.75,21813.05,21501.8,21522.1,375137333.0,32916.3
215,31-Jan-24,21487.25,21741.35,21448.85,21725.7,410583065.0,41587.85
216,01-Feb-24,21780.65,21832.95,21658.75,21697.45,332541208.0,34042.15
217,02-Feb-24,21812.75,22126.8,21805.55,21853.8,442794738.0,38395.9
218,05-Feb-24,21921.05,21964.3,21726.95,21771.7,440849699.0,33807.94
219,06-Feb-24,21825.2,21951.4,21737.55,21929.4,370968111.0,32910.82
220,07-Feb-24,22045.05,22053.3,21860.15,21930.5,346263704.0,30088.76
221,08-Feb-24,22009.65,22011.05,21665.3,21717.95,491069786.0,41082.02
222,09-Feb-24,21727.0,21804.45,21629.9,21782.5,349222850.0,31176.16
223,12-Feb-24,21800.8,21831.7,21574.75,21616.05,287436165.0,23921.14
224,13-Feb-24,21664.3,21766.8,21543.35,21743.25,365785766.0,29896.62
225,14-Feb-24,21578.15,21870.85,21530.2,21840.05,359120861.0,32535.0
226,15-Feb-24,21906.55,21953.85,21794.8,21910.75,345394395.0,29559.69
227,16-Feb-24,22020.3,22068.65,21968.95,22040.7,281823360.0,25467.699999999997
228,19-Feb-24,22103.45,22186.65,22021.05,22122.25,218252325.0,21375.71
229,20-Feb-24,22099.2,22215.6,22045.85,22196.95,295705319.0,26872.32
230,21-Feb-24,22248.85,22249.4,21997.95,22055.05,364545679.0,29741.39
231,22-Feb-24,22081.55,22252.5,21875.25,22217.45,343495136.0,33985.94
